unit_id,county,township,service_point_count,essential_service_count,service_accessibility_score,service_gap_score,nearest_essential_service_distance_m,estimated_nearest_essential_travel_time_min,road_segment_count,road_length_km,mean_road_speed_kmh,capacity_norm,essential_norm,travel_time_inverse_norm
梁平县|龙胜乡|580,梁平县,龙胜乡,57.0,2.0,0.177323,0.822677,2521.346,5.836,6.0,29.986507,34.996517,0.0,0.0,0.0
巫溪县|朝阳镇|460,巫溪县,朝阳镇,437.0,8.0,0.176984,0.823016,4672.988,8.482,7.0,11.639034,44.624204,0.0,0.0,0.0
武隆县|黄莺乡|617,武隆县,黄莺乡,148.0,9.0,0.176272,0.823728,3397.571,7.037,3.0,32.941652,39.109062,0.0,0.0,0.0
奉节县|岩湾乡|471,奉节县,岩湾乡,115.0,2.0,0.176266,0.823734,2776.574,6.426,1.0,3.159633,35.0,0.0,0.0,0.0
黔江区|金洞乡|775,黔江区,金洞乡,162.0,7.0,0.176009,0.823991,3381.533,7.066,19.0,44.831545,38.765098,0.0,0.0,0.0
云阳县|双龙镇|175,云阳县,双龙镇,353.0,10.0,0.175868,0.824132,2886.688,8.388,19.0,57.17248,27.87605,0.0,0.0,0.0
石柱土家族自治县|河嘴乡|840,石柱土家族自治县,河嘴乡,157.0,6.0,0.175432,0.824568,3848.294,7.114,11.0,25.15632,43.816103,0.0,0.0,0.0
忠县|金声乡|152,忠县,金声乡,139.0,5.0,0.175404,0.824596,1716.761,6.953,0.0,0.0,20.0,0.0,0.0,0.0
开县|和谦镇|28,开县,和谦镇,321.0,13.0,0.175218,0.824782,3988.51,8.535,4.0,0.657608,37.853462,0.0,0.0,0.0
秀山土家族苗族自治县|峨溶镇|832,秀山土家族苗族自治县,峨溶镇,209.0,9.0,0.175204,0.824796,3668.946,7.653,19.0,26.658787,38.834635,0.0,0.0,0.0
云阳县|桑坪镇|370,云阳县,桑坪镇,350.0,5.0,0.175127,0.824873,3492.199,8.251,26.0,84.560064,34.283458,0.0,0.0,0.0
万州区|后山镇|17,万州区,后山镇,211.0,8.0,0.174963,0.825037,2762.466,7.66,10.0,91.743065,29.209564,0.0,0.0,0.0
万州区|普子乡|253,万州区,普子乡,104.0,4.0,0.174506,0.825494,2724.892,6.911,15.0,61.060587,31.937631,0.0,0.0,0.0
彭水苗族土家族自治县|诸佛乡|803,彭水苗族土家族自治县,诸佛乡,197.0,2.0,0.174391,0.825609,3549.639,7.354,2.0,26.089274,39.096287,0.0,0.0,0.0
